Wavelength,O5V,B5V,A5V,F5V,G5V,K5V,M5V
4630,297760.57,8428.409,706.327,136.524,29.075,3.04,0.003
4650,291353.044,8419.076,714.889,138.998,29.615,2.946,0.003
4670,293717.595,8369.929,718.736,142.436,30.687,3.31,0.004
4690,281098.988,8330.736,696.701,140.42,30.319,3.177,0.004
4710,290254.051,8167.742,677.1,136.586,29.663,2.982,0.004
4730,288955.205,8213.779,711.173,143.706,31.188,2.971,0.003
4750,286810.49,8157.167,712.586,145.625,31.931,2.906,0.003
4770,284602.494,8168.365,706.979,146.191,32.286,2.581,0.002
4790,282261.275,8105.531,701.416,146.37,32.381,2.804,0.003
4810,280279.719,8016.568,686.162,146.135,32.216,3.346,0.003
4830,277712.075,7897.123,649.024,147.544,33.077,3.387,0.003
4850,268503.716,6990.079,499.823,135.938,31.211,3.547,0.004
4870,253314.151,6066.862,407.577,118.765,28.042,3.283,0.004
4890,271081.416,7727.285,618.797,143.609,31.956,3.47,0.004
4910,269885.792,7805.05,671.189,145.445,32.233,3.48,0.005
4930,267198.228,7675.649,676.209,144.368,31.874,3.215,0.005
4950,266215.816,7767.101,693.028,149.283,33.45,3.246,0.004
4970,264387.442,7739.727,701.981,151.824,33.984,3.09,0.003
4990,262562.418,7685.603,684.488,144.493,31.931,2.751,0.003
5010,259768.315,7517.011,670.972,141.221,30.966,2.426,0.003
5030,258572.708,7568.024,689.986,148.51,32.879,2.669,0.003
5050,256671.089,7408.14,682.011,149.007,33.258,2.493,0.003
5070,255022.603,7510.167,695.071,154.143,34.891,2.397,0.003
5090,253330.789,7469.108,691.333,151.437,33.76,2.323,0.003
5110,251552.415,7410.007,694.789,154.005,34.56,2.406,0.003
5130,249727.383,7391.965,687.074,151.824,34.01,2.287,0.003
5150,247968.988,7319.179,677.252,149.049,33.034,2.138,0.003
5170,246290.487,7295.538,667.43,143.706,30.202,2.07,0.003
5190,244588.669,7273.763,666.669,144.175,30.897,2.336,0.003
5210,242836.95,7186.668,673.819,150.995,34.036,2.825,0.004
5230,241245.048,7177.336,671.363,153.163,34.738,4.019,0.006
5250,239303.495,7168.627,685.77,157.18,36.148,4.535,0.006
5270,237465.15,7101.438,655.413,145.694,32.354,3.499,0.005
5290,236316.179,7118.857,679.382,157.194,36.365,4.676,0.007
5310,234700.974,7056.645,676.47,160.356,37.883,5.211,0.008
5330,233065.793,7038.604,660.433,151.672,34.58,4.253,0.007
5350,231547.155,6995.056,676.491,159.362,37.319,4.879,0.007
5370,229975.261,6974.526,671.015,159.251,37.286,4.761,0.007
5390,228420.007,6935.956,670.255,159.113,37.175,4.707,0.008
5410,222352.132,6892.407,661.324,156.09,36.226,4.632,0.008
5430,225386.078,6855.081,668.256,160.397,37.491,4.635,0.008
5450,223904.071,6832.684,672.406,163.075,38.587,4.718,0.006
5470,222372.138,6789.137,668.995,161.736,38.2,5.068,0.007
5490,220940.094,6769.229,671.993,163.503,38.704,5.264,0.007
5510,219234.965,6731.901,671.646,163.683,38.639,5.107,0.007
5530,218042.719,6710.128,666.669,164.166,39.093,5.58,0.008
5550,216627.338,6678.4,669.864,165.947,39.717,5.698,0.008
5570,215095.384,6645.428,662.823,163.351,38.918,5.57,0.009
5590,213113.843,6614.944,662.106,162.951,38.507,5.283,0.009
5610,212427.797,6588.194,664.062,165.698,39.87,5.732,0.007
5630,211052.367,6562.687,666.148,167.328,40.164,5.975,0.009
5650,209683.62,6493.01,664.714,167.783,40.522,6.257,0.01
5670,208331.497,6471.858,658.781,165.657,39.85,6.093,0.01
5690,203542.495,6459.416,661.867,168.073,40.669,6.266,0.01
5710,204698.125,6432.665,659.607,166.941,40.15,6.005,0.011
5730,204474.993,6405.914,665.539,173.388,42.7,6.64,0.012
5750,203092.931,6376.052,659.281,170.475,41.62,6.597,0.012
5770,201947.277,6346.813,660.128,172.049,42.208,6.688,0.011
5790,200718.393,6309.487,657.738,170.889,41.505,6.401,0.012
5810,197771.055,6282.113,657.586,172.767,42.506,6.777,0.011
5830,197794.372,6255.362,657.543,174.451,43.33,7.063,0.012
5850,196981.767,6225.5,654.848,172.712,42.648,6.849,0.012
5870,193937.854,6081.481,652.936,173.471,42.987,6.934,0.011
5890,194370.804,6151.718,643.852,168.639,40.603,6.057,0.01
5910,193411.676,6137.969,650.35,173.761,43.01,7.009,0.011
5930,192182.78,6115.324,649.415,173.996,43.201,7.06,0.011
5950,190977.205,6055.726,648.177,174.921,43.527,7.112,0.011
5970,189788.293,6050.5,647.308,175.294,43.87,7.307,0.012
5990,189058.947,6003.655,643.918,174.893,43.678,7.264,0.012
6010,187433.734,6002.97,639.528,173.733,43.237,7.218,0.013
6030,186204.853,5973.855,640.745,174.41,43.705,7.468,0.013
6050,185568.771,5946.358,641.505,177.13,44.709,7.625,0.014
6070,183933.588,5917.617,642.005,177.102,44.599,7.607,0.014
6090,183390.752,5889.995,638.42,175.487,43.863,7.427,0.015
